regio1,serviceCharge,heatingType,telekomTvOffer,telekomHybridUploadSpeed,newlyConst,balcony,picturecount,pricetrend,telekomUploadSpeed,totalRent,yearConstructed,scoutId,noParkSpaces,firingTypes,hasKitchen,geo_bln,cellar,yearConstructedRange,baseRent,houseNumber,livingSpace,geo_krs,condition,interiorQual,petsAllowed,street,streetPlain,lift,baseRentRange,typeOfFlat,geo_plz,noRooms,thermalChar,floor,numberOfFloors,noRoomsRange,garden,livingSpaceRange,regio2,regio3,description,facilities,heatingCosts,energyEfficiencyClass,lastRefurbish,electricityBasePrice,electricityKwhPrice,date
Niedersachsen,70.0,self_contained_central_heating,ONE_YEAR_FREE,,False,False,4,3.45,40.0,270.0,,83924132,,,False,Niedersachsen,False,,200.0,22,42.0,Goslar_Kreis,well_kept,simple,,Zellbach,Zellbach,False,1,ground_floor,38678,2.0,183.0,,,2,False,2,Goslar_Kreis,Clausthal_Zellerfeld,"teilmöblierte 2-Zimmer-Wohnung mit Kochcenter und Duschbad.

Die Nebenkosten verstehen sich zuzüglich Heiz- und Stromkosten",,,,,90.76,0.2055,Sep18
Schleswig_Holstein,229.0,central_heating,,,False,True,8,3.58,,1845.0,2017.0,114995091,1.0,gas,True,Schleswig_Holstein,True,9.0,1616.0,10,135.0,Pinneberg_Kreis,mint_condition,normal,no,Nienkamp,Nienkamp,True,8,ground_floor,25421,4.0,68.0,0.0,3.0,4,False,6,Pinneberg_Kreis,Pinneberg,"In einem attraktiven Neubau, welcher im Jahre 2017 in der Parkstadt Eggerstedt erbaut worden ist, befindet sich diese komfortable 4 Zimmer Wohnung im Erdgeschoss mit Garten. Über den großzügig geschnittenen Flur gelangen Sie in alle Wohnräume, sowie in den Abstellraum und das lichtdurchflutete Vollbad mit separater Dusche und das Gäste-WC. Das Wohnzimmer ist mit einer integrierten Einbauküche ausgestattet und bietet Zugang zur Terrasse mit umlaufenden Garten. 

In der kompletten Wohnung, bis auf im gefliesten Duschbad und Gäste-WC, wurde hochwertiger Designboden verlegt, sodass durch die Fußbodenheizung ein angenehmes Raumklima entsteht. 

Selbstverständlich sind alle Räume mit dreifachisolierten Fenstern und elektrischen Rollläden ausgestattet. Optional kann für EUR 70,00 monatlich ein PKW-Stellplatz, in der vom Treppenhaus begehbaren Tiefgarage, angemietet werden.

Vorauszahlungen für die Heiz- und Wasserkosten zahlt der Mieter direkt an den Betreiber.

Rufen Sie uns zwecks Terminvereinbarung zu einer individuellen Besichtigung einfach an.","- Einbauküche
- Fußbodenheizung
- Terrasse & Garten
- elektr. Außenrollläden
- Abstellraum 
- Kellerraum 
- TG-Stellplatz (optional)
- uvm.",,B,,,,Feb20
Nordrhein_Westfalen,116.0,central_heating,ONE_YEAR_FREE,,False,False,11,3.39,10.0,,1925.0,109615504,,gas,False,Nordrhein_Westfalen,False,1.0,460.0,52,77.0,Duisburg,fully_renovated,,,Heisingstra&szlig;e,Heisingstraße,False,3,roof_storey,47137,3.0,63.6,,1.0,3,False,3,Duisburg,Mittelmeiderich,"Wir haben für Sie, eine wunderschöne und helle 3-Raum-Mietwohnung vollständig renoviert. Jetzt heißt es für Sie...

Kartons packen und einziehen!

Diese schöne ca. 77 m² große Wohnung, befindet sich im Dachgeschoss eines gepflegten Wohnhauses und eine freundliche Nachbarschaft heißt Sie willkommen.","In dieser Wohnung wird nicht nur optimales und praktisches Raumkonzept groß geschrieben, sondern hier erleben Sie auch besonderen Flair durch Balken und Schrägen.

Die schöne Aufteilung der hellen Zimmer, lässt viel Spielraum für eine individuelle und stilvolle Einrichtung.

Hier erwartet Sie eine Wohnung, deren Räumlichkeiten alle tapeziert, weiß gestrichen und mit hochwertigen Dielen-/Fliesenböden versehen sind. Das Tageslichtbadezimmer mit Badewanne wurde mit modernen weißen Fliesen ausgestattet. Hier haben Sie auch die Möglichkeit zum Aufstellen Ihre Waschmaschine. 

Über den Flur gelangen Sie in jedes Zimmer. Lassen Sie sich bei einem Besichtigungstermin von dieser Wohnung überzeugen.",80.0,,,,,May19
Nordrhein_Westfalen,150.0,central_heating,ONE_YEAR_FREE,,True,False,4,4.81,10.0,1590.0,2019.0,115405578,,gas,False,Nordrhein_Westfalen,True,9.0,1440.0,,80.0,Düsseldorf,first_time_use,,negotiable,no_information,,True,7,apartment,40477,3.0,,2.0,6.0,3,False,3,Düsseldorf,Pempelfort,"BIG CITY LIFE !Erleben Sie alle Vorzüge einer urbanen Umgebung. Big City Life bedeutet für Sie vor allem, kurze Wege, permanente Verfügbarkeit, gehobener Ausstattungsstandard der Wohnungen und LEBEN in einem beliebtesten Stadtteile Düsseldorfs. Unser ästhetisches Verständnis zeigt sich äußerlich durch die Sandsteinoptikfassade, welche dem Gebäude einen besonderen Charakter und zeitlose Eleganz verleiht. Zeitlos und hochwertig ist auch das helle Eichenparkett, welches in der gesamten Wohnung, mit Ausnahme der Bäder und Küche, ausgelegt wurde und jedem Farb- und Einrichtungsstil schmeichelt. Behagliche Wärme strahlt die Fußbodenheizung mit Einzelraumregelung aus. Der Wohn- und Küchenbereich ist mit einer hochwertigen Küche mit Kochinsel ausgestattet Die offene Bauweise der Wohnung, bietet besondere Möglichkeiten für ein alltägliches Miteinander und die fließenden Grenzen verleihen den Räumen eine besondere Atmosphäre.Stadtmenschen sind pragmatisch und haben wenig Zeit!Deshalb wurde im gesamten Gebäude besonderer Wert auf die technische Ausstattung gelegt. Die Wohnung ist vollklimatisiert und verfügt zusätzlich über eine kontrollierte Be- und Entlüftungsanlage mit Wärmerückgewinnung, welche ein angenehmes Raumklima fördert. Schadstoffe, Gerüche und Feuchtelasten werden nach außen transportiert ohne dass ein Fenster geöffnet oder jemand anwesend sein muss. Ein weiteres technisches Highlight ist definitiv der biometrische Fingerscanner an der Hauseingangstür, der viele unschlagbare Vorteile und zusätzlichen Komfort bietet.","Ausstattung im Überblick:AufzugSchließanlageVollklimatisiertKontrollierte Be- und Entlüftungsanlage mit WärmerückgewinnungEichenparkettFußbodenheizungeingebauter hochwertiger TresorBad en Suite mit Badewanne und bodengleicher DuscheBiometrischer Fingerscanner, Haustür3-fach verglaste Fenster*Küche nach Ihrem Geschmack gegen monatlichen Aufpreis*",,,,,,Feb20
Hessen,160.0,central_heating,ONE_YEAR_FREE,10.0,False,True,8,5.15,2.4,1355.0,1952.0,99163357,1.0,natural_gas_light,True,Hessen,True,2.0,1195.0,42,59.0,Frankfurt_am_Main,fully_renovated,sophisticated,,Schumannstra&szlig;e,Schumannstraße,False,7,apartment,60325,2.0,,3.0,4.0,2,False,2,Frankfurt_am_Main,Westend_Süd,Gepflegtes Mehrfamilienhaus in TOP-Lage!,"- in allen Räumen Parkettboden (Eiche geölt)
- hochwertige Einbauküche mit Einbaugeräten und           einem praktischen, separaten Abstellraum
- Tageslicht-Duschbad mit Handtuchheizkörper
- glatte Wände mit Malervlies
- 2 Balkone
- ISO-Fenster
- Kabel-TV-Anschluss
- Keller",,,2017.0,,,May19
Baden_Württemberg,400.0,central_heating,ONE_YEAR_FREE,,False,True,5,5.1,10.0,3580.0,2012.0,109302756,1.0,gas,False,Baden_Württemberg,True,8.0,3180.0,,212.0,Baden_Baden,mint_condition,,,no_information,,True,9,apartment,76530,5.0,,0.0,,5,False,7,Baden_Baden,Innenstadt,"Heute wie damals gilt die Hermann-Sielcken-Straße als eine der bevorzugtesten Villenwohnlagen Baden-Badens. Die Neubebauung mit zwei eleganten Stadtresidenzen steht auf einem ca. 2.700 m² großen, parkähnlichen Grundstück in nächster Umgebung zum „Hofgut Mariahalden“. Diese herrliche Halbhöhenwohnlage mit unverbaubarer Aussicht zeichnet sich durch ihre Nähe zum direkt angrenzenden Stadtwald mit seinen sehenswürdigen Panoramawegen sowie dem traditionsreichen Baden-Badener Golfclub aus. Nur einen kurzen Spaziergang und Sie erreichen die Lichtentaler Allee sowie auch die Innenstadt mit all ihren kulturellen Highlights wie Festspielhaus, Frieder-Burda-Museum, Trinkhalle, Theater und Casino. Bushaltestellen befinden sich ganz in der Nähe des Anwesens. Moderner Wohnkomfort entstand durch die perfekte Symbiose aus zeitloser, eleganter Architektur und perfekten Grundrisslösungen, verbunden mit bester Bau- und Ausstattungsqualität. Die luxuriöse Wohnung befindet sich im 1 OG., erstreckt sich über die ganze Etage und hat ca. 212 m² Wohnflächen. Von jedem Bereich Ihres neuen Domizils genießen Sie einen bezaubernden Blick. Von der geräumigen Tiefgarage, die die beiden Häuser miteinander verbindet, gelangen Sie bequem und trockenen Fußes mit dem Lift bis auf Ihre Wohnungsebene. Im Tiefgaragenbereich befinden sich auch die Kellerräume sowie die hochmoderne Zentralheizung mit Brennwerttechnik.",,,,,,,May19
Baden_Württemberg,,,,,False,False,1,4.03,,,,115482662,,,False,Baden_Württemberg,False,,790.0,,65.0,Ulm,,,,no_information,,False,5,apartment,89073,2.0,,,,2,False,3,Ulm,Mitte,"Ruhige, 2 Zi. DG Whg., Ulm2 Zi. Whg., 65 m Wfl., 790 EUR KM, Tel. (0731) 711474, nadja@zumsteg.de",,,,,,,Feb20
Sachsen_Anhalt,50.38,,ONE_YEAR_FREE,10.0,False,False,9,1.64,2.4,319.08,1972.0,114450652,,district_heating,False,Sachsen_Anhalt,True,3.0,195.93,4a,55.98,Altmarkkreis_Salzwedel,fully_renovated,normal,,Stra&szlig;e der Einheit,Straße_der_Einheit,False,1,ground_floor,39624,3.0,71.0,,3.0,3,False,2,Altmarkkreis_Salzwedel,Kalbe_Milde,"Das 3-stöckige Wohnhaus wurde 1972 erbaut - Direkt im Erdgeschoss liegt Ihre neue Wohnung.

Unsere Mieter stehen bei uns an oberster Stelle - Ein Hausmeister kümmert sich um die optimale Pflege der Anlage.
Öffentliche Parkplätze stehen Ihnen vor der Tür zur Verfügung.

*Aktion: 750 EUR Elektronik - und Möbelfachmarktgutschein ODER 2 Nettokaltmieten frei

Sie erhalten von uns für den Abschluss eines gültigen Mietvertrages für eine Wohnung der Grand City Property Ltd. in Kalbe einen Wertgutschein in Höhe von 750 EUR für einen ausgewählten Elektronik - oder Möbelfachmarkt geschenkt oder 2 Nettokaltmieten erlassen, wenn Sie (i) bisher in keinem Mietverhältnis über ein von der Grand City Property Ltd. verwalteten Mietobjekt stehen (""Neumieter""), (ii) die erste Monatsmiete (Warmmiete) sowie die Kaution überwiesen sind und (iii) der Mietvertrag unbefristet oder mit einer Mindestmietdauer von einem Jahr rechtsgültig bis zum 31.03.2020 abgeschlossen wurde. Eine Barauszahlung ist nicht möglich. Nicht mit anderen Aktionen kombinierbar. Übergabe des Wertgutscheins oder Nettokaltmietenerlass erfolgt erst nach vollständiger Kautionszahlung sowie Zahlung der ersten Monatsmiete. Nur eine Aktion pro Haushalt.

","Die 3-Zimmer-Wohnung verteilt sich auf gut 56 m²

- WG-geeignet
- PVC-Bodenbelag und Raufasertapete in Wohnräumen 
- Anthrazite Boden- und weiße Wandfliesen in Küche und Bad
- Tageslichtbad mit Badewanne
- Keller je nach Kapazität
- Haustiere erlaubt 
- Hausmeisterservice
- Mieterservice 
- 24h Service-Center
",72.77,,,,,Feb20
Hessen,160.0,oil_heating,ONE_YEAR_FREE,,False,True,14,3.33,40.0,1035.0,1971.0,106940151,,oil,True,Hessen,True,3.0,875.0,3,75.0,Wiesbaden,well_kept,sophisticated,no,Weichselstra&szlig;e,Weichselstraße,False,6,apartment,65191,2.0,,1.0,1.0,2,False,3,Wiesbaden,Sonnenberg,"Freundliche, helle 2-Zimmerwohnung, ca. 75 qm im 1. OG, mit hochwertiger Einbauküche und Balkon (Süd-West-Ausrichtung), Duschbad, großzügiges Wohnzimmer (ca. 40 qm), Parkettfußboden, kleiner Keller, gute Lage Sonnenberg.

An Nichtraucher/in zu vermieten. / Geeignet für 1-2 Personen.","Parkettfußboden (Buche), hochwertige EBK, Duschbad",,,2008.0,90.76,0.1915,Sep18
Bayern,220.0,heat_pump,ONE_YEAR_FREE,,True,True,14,1.83,40.0,1200.0,2018.0,106511553,1.0,geothermal,False,Bayern,True,9.0,980.0,4,102.0,Neuburg_Schrobenhausen_Kreis,first_time_use,sophisticated,no,Siebenb&uuml;rgener Stra&szlig;e,Siebenbürgener_Straße,True,6,roof_storey,86529,4.0,,2.0,2.0,4,False,5,Neuburg_Schrobenhausen_Kreis,Schrobenhausen,"Diese Dachgeschosswohnung im zweiten OG besticht durch eine gehobene Innenausstattung. Es handelt sich hierbei um einen Erstbezug. Zu dem Apartment zählen vier schöne Zimmer. Das Apartment ist barrierefrei zugänglich und durch einen Fahrstuhl gelangen Sie bequem ins entsprechende Stockwerk. Beachten Sie auch, dass sich auf dem Balkon wunderbar vom Alltag erholen lässt. Ihnen stehen außerdem zwei Tiefgaragenplätze á 45,00 EUR pro Monat für Ihr(e) Auto(s) und ein Kellerraum zur Verfügung.

Die Neubauwohnung wurde im KFW-Standard 70 errichtet mit einer modernen Luft-Wasser-Wärmepumpe, Kunststofffenster mit Dreifachverglasung und einer dezentraler Einzelraumlüftung mit Wärmetauscher in der Außenwand. Alle Fenster sind mit elektrische Rollläden ausgestattet.

Kabelanschluss vorhanden.",Die gesamte Wohnung wird mit hochwertigen Designvinyl- und Fliesenböden ausgestattet und wird über eine Fußbodenheizung beheizt.,,,,71.43,0.2074,Sep18
